Country/Territory,Code,Region
Afghanistan,AFG,South Asia
Albania,ALB,Central and Eastern Europe
Algeria,DZA,Middle East and North Africa
Angola,AGO,Sub-Saharan Africa
Argentina,ARG,Latin America and Caribbean
Armenia,ARM,Commonwealth of Independent States
Australia,AUS,North America and ANZ
Austria,AUT,Western Europe
Azerbaijan,AZE,Commonwealth of Independent States
Bahrain,BHR,Middle East and North Africa
Bangladesh,BGD,South Asia
Belarus,BLR,Commonwealth of Independent States
Belgium,BEL,Western Europe
Belize,BLZ,Latin America and Caribbean
Benin,BEN,Sub-Saharan Africa
Bhutan,BTN,South Asia
Bolivia,BOL,Latin America and Caribbean
Bosnia and Herzegovina,BIH,Central and Eastern Europe
Botswana,BWA,Sub-Saharan Africa
Brazil,BRA,Latin America and Caribbean
Bulgaria,BGR,Central and Eastern Europe
Burkina Faso,BFA,Sub-Saharan Africa
Burundi,BDI,Sub-Saharan Africa
Cambodia,KHM,Southeast Asia
Cameroon,CMR,Sub-Saharan Africa
Canada,CAN,North America and ANZ
Central African Republic,CAF,Sub-Saharan Africa
Chad,TCD,Sub-Saharan Africa
Chile,CHL,Latin America and Caribbean
China,CHN,East Asia
Colombia,COL,Latin America and Caribbean
Comoros,COM,Sub-Saharan Africa
Congo (Brazzaville),COG,Sub-Saharan Africa
Congo (Kinshasa),COD,Sub-Saharan Africa
Costa Rica,CRI,Latin America and Caribbean
Croatia,HRV,Central and Eastern Europe
Cyprus,CYP,Western Europe
Czech Republic,CZE,Central and Eastern Europe
Denmark,DNK,Western Europe
Djibouti,DJI,Middle East and North Africa
Dominican Republic,DOM,Latin America and Caribbean
Ecuador,ECU,Latin America and Caribbean
Egypt,EGY,Middle East and North Africa
El Salvador,SLV,Latin America and Caribbean
Estonia,EST,Central and Eastern Europe
Ethiopia,ETH,Sub-Saharan Africa
Finland,FIN,Western Europe
France,FRA,Western Europe
Gabon,GAB,Sub-Saharan Africa
Gambia,GMB,Sub-Saharan Africa
Georgia,GEO,Commonwealth of Independent States
Germany,DEU,Western Europe
Ghana,GHA,Sub-Saharan Africa
Greece,GRC,Western Europe
Guatemala,GTM,Latin America and Caribbean
Guinea,GIN,Sub-Saharan Africa
Haiti,HTI,Latin America and Caribbean
Honduras,HND,Latin America and Caribbean
Hong Kong S.A.R. of China,HKG,East Asia
Hungary,HUN,Central and Eastern Europe
Iceland,ISL,Western Europe
India,IND,South Asia
Indonesia,IDN,Southeast Asia
Iran,IRN,Middle East and North Africa
Iraq,IRQ,Middle East and North Africa
Ireland,IRL,Western Europe
Israel,ISR,Middle East and North Africa
Italy,ITA,Western Europe
Jamaica,JAM,Latin America and Caribbean
Japan,JPN,East Asia
Jordan,JOR,Middle East and North Africa
Kazakhstan,KAZ,Commonwealth of Independent States
Kenya,KEN,Sub-Saharan Africa
Kosovo,XKX,Central and Eastern Europe
Kuwait,KWT,Middle East and North Africa
Kyrgyzstan,KGZ,Commonwealth of Independent States
Laos,LAO,Southeast Asia
Latvia,LVA,Central and Eastern Europe
Lebanon,LBN,Middle East and North Africa
Lesotho,LSO,Sub-Saharan Africa
Liberia,LBR,Sub-Saharan Africa
Libya,LBY,Middle East and North Africa
Lithuania,LTU,Central and Eastern Europe
Luxembourg,LUX,Western Europe
Macedonia,MKD,Central and Eastern Europe
Madagascar,MDG,Sub-Saharan Africa
Malawi,MWI,Sub-Saharan Africa
Malaysia,MYS,Southeast Asia
Maldives,MDV,South Asia
Mali,MLI,Sub-Saharan Africa
Malta,MLT,Western Europe
Mauritania,MRT,Sub-Saharan Africa
Mauritius,MUS,Sub-Saharan Africa
Mexico,MEX,Latin America and Caribbean
Moldova,MDA,Commonwealth of Independent States
Mongolia,MNG,East Asia
Montenegro,MNE,Central and Eastern Europe
Morocco,MAR,Middle East and North Africa
Mozambique,MOZ,Sub-Saharan Africa
Myanmar,MMR,Southeast Asia
Namibia,NAM,Sub-Saharan Africa
Nepal,NPL,South Asia
Netherlands,NLD,Western Europe
New Zealand,NZL,North America and ANZ
Nicaragua,NIC,Latin America and Caribbean
Niger,NER,Sub-Saharan Africa
Nigeria,NGA,Sub-Saharan Africa
Norway,NOR,Western Europe
Oman,OMN,Middle East and North Africa
Pakistan,PAK,South Asia
Panama,PAN,Latin America and Caribbean
Paraguay,PRY,Latin America and Caribbean
Peru,PER,Latin America and Caribbean
Philippines,PHL,Southeast Asia
Poland,POL,Central and Eastern Europe
Portugal,PRT,Western Europe
Qatar,QAT,Middle East and North Africa
Romania,ROU,Central and Eastern Europe
Russia,RUS,Commonwealth of Independent States
Rwanda,RWA,Sub-Saharan Africa
Saudi Arabia,SAU,Middle East and North Africa
Senegal,SEN,Sub-Saharan Africa
Serbia,SRB,Central and Eastern Europe
Sierra Leone,SLE,Sub-Saharan Africa
Singapore,SGP,Southeast Asia
Slovakia,SVK,Central and Eastern Europe
Slovenia,SVN,Central and Eastern Europe
South Africa,ZAF,Sub-Saharan Africa
South Korea,KOR,East Asia
South Sudan,SSD,Sub-Saharan Africa
Spain,ESP,Western Europe
Sri Lanka,LKA,South Asia
Sudan,SDN,Middle East and North Africa
Swaziland,SWZ,Sub-Saharan Africa
Sweden,SWE,Western Europe
Switzerland,CHE,Western Europe
Syria,SYR,Middle East and North Africa
Tajikistan,TJK,Commonwealth of Independent States
Tanzania,TZA,Sub-Saharan Africa
Thailand,THA,Southeast Asia
Togo,TGO,Sub-Saharan Africa
Trinidad and Tobago,TTO,Latin America and Caribbean
Tunisia,TUN,Middle East and North Africa
Turkey,TUR,Middle East and North Africa
Turkmenistan,TKM,Commonwealth of Independent States
Uganda,UGA,Sub-Saharan Africa
Ukraine,UKR,Commonwealth of Independent States
United Arab Emirates,ARE,Middle East and North Africa
United Kingdom,GBR,Western Europe
United States,USA,North America and ANZ
Uruguay,URY,Latin America and Caribbean
Uzbekistan,UZB,Commonwealth of Independent States
Venezuela,VEN,Latin America and Caribbean
Vietnam,VNM,Southeast Asia
Yemen,YEM,Middle East and North Africa
Zambia,ZMB,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa